"項次,N,10,0","年度,N,10,0","名稱,C,254","縣市,C,254","鄉鎮,C,254","村里,C,254","地標,C,254","誘因,C,254","壩體X_TW,N,10,0","壩體Y_TW,N,10,0","崩塌X_TW,N,10,0","崩塌Y_TW,N,10,0","事件,C,254","形成時間,C,254","持續時間(日),C,254","蓄水量(萬立方公尺),N,19,11",潰決時間,潰決原因,"存續狀態,C,254",坐落區位
1,1979,草嶺,雲林縣,古坑鄉,草嶺村,,降雨,216568,2608104,216969,2608424,0815豪雨,1979/8/15,9,"4,000.00",1979/08/24,豪雨沖刷,消失,河川
2,1993,丹大溪,南投縣,信義鄉,地利村,(丹大第40林班),降雨,256557,2626958,256355,2626897,,1993,,2.00,,,消失,林班地
3,1999,九份二山(韭菜湖溪),南投縣,國姓鄉,南港村,南港溪支流木屐蘭溪上游之澀仔坑溪與韭菜湖溪匯流處,地震,234861,2649561,234290,2650113,九二一地震,1999/9/21,持續至今,68.00,,,存在(已穩定),山坡地
4,1999,九份二山(澀仔坑溪),南投縣,國姓鄉,南港村,南港溪支流木屐蘭溪上游之澀仔坑溪與韭菜湖溪匯流處,地震,234486,2649559,234290,2650113,九二一地震,1999/9/21,持續至今,108.97,,,存在(已穩定),山坡地
5,1999,大安溪內灣段(斷層),臺中市,東勢區,下新里,大安溪中游，位於卓蘭鎮內灣與上新交界處，斷層隆起阻塞河道,地震,233276,2687010,,,九二一地震,1999/9/21,,0.00,,,消失,河川
6,1999,石盤溪(線浸),南投縣,鹿谷鄉,永隆村,石盤溪上游線浸山區(台大實驗林第10林班內),地震,231875,2627967,231822,2627883,九二一地震,1999/9/26,,0.00,,自然溢流,消失,山坡地
7,1999,旱溪,臺中市,豐原區,北陽里,大里溪支流旱溪，觀音橋至南陽橋間,地震,223523,2682491,223782,2682260,九二一地震,1999/9/21,,0.00,,,消失,河川
8,1999,沙漣河(斷層),臺中市,東勢區,興隆里,大甲溪支流，位於東勢鎮興隆橋下游50公尺，接近石岡水庫，斷層隆起阻塞河道,地震,231559,2686423,,,九二一地震,1999/9/21,,0.00,,,消失,河川
9,1999,草嶺,雲林縣,古坑鄉,草嶺村,濁水溪支流清水溪，掘沓山,地震,216812,2607804,217160,2609096,九二一地震,1999/9/21,1746,"4,600.00",,,消失,河川
10,1999,雪山坑溪,臺中市,和平區,達觀里,大安溪支流雪山坑溪，達觀村雪山花園農場處(大安溪第113林班),地震,248360,2688760,248090,2688488,九二一地震,1999/9/21,,16.00,,,消失,林班地
11,1999,頭汴坑溪龍寶橋(斷層),臺中市,太平區,頭汴里,龍寶橋上游200公尺,地震,224552,2668614,,,九二一地震,1999/9/21,,0.00,,,消失,山坡地
12,1999,石鼓盤溪,嘉義縣,阿里山鄉,豐山村,(水漾森林，阿里山第52林班),地震,229560,2608431,230000,2608130,九二一地震,1999/9/21,持續至今,23.10,,,存在(已穩定),林班地
13,2002,新武呂溪,臺東縣,海端鄉,霧鹿村,霧鹿天龍橋上游,降雨,252606,2564197,252606,2564197,,,,45.00,,,消失,山坡地
14,2005,知本溪,臺東縣,金峰鄉,嘉蘭村,(台東第33林班),地震,247403,2508523,247518,2508370,,2005/10/17,,39.80,,,消失,林班地
15,2006,龍泉溪,臺東縣,海端鄉,廣原村,(關山第3林班),颱風、地震,268461,2563439,268420,2563554,碧利斯颱風、0716地震,2006/7/15,1468,100.00,,,消失,林班地
16,2006,大崙溪 ,臺東縣,海端鄉,霧鹿村,(關山第28林班),,256134,2558144,256239,2558738,,2006/08/28,1424,8.00,,,消失,林班地
17,2008,合流坪,南投縣,信義鄉,地利村,(巒大第180林班),崩塌,250040,2631079,249872,2630261,,2008/3/12,,200.00,,,消失,林班地
18,2008,塔羅灣溪,南投縣,仁愛鄉,精英村,,颱風,269233,2658477,269156,2658614,辛樂克颱風,2008/9/14,1,0.00,,,消失,山坡地
19,2009,口社溪,屏東縣,三地門鄉,大社村,,颱風,218467,2524396,218078,2524908,莫拉克颱風,2009/8/8,4,0.00,,,消失,山坡地
20,2009,士文溪 ,屏東縣,春日鄉,力里村,(潮州第20林班),颱風,219051,2477158,218676,2477477,莫拉克颱風,2009/8/14,437,122.00,,,消失,山坡地
21,2009,太麻里溪(包盛社),臺東縣,金峰鄉,嘉蘭村,(包盛社、大武第9林班),颱風,231407,2497742,230405,2494906,莫拉克颱風,2009/8/8,433,533.00,,,消失,林班地
22,2009,木瓜溪銅門,花蓮縣,秀林鄉,銅門村, (木瓜山第19林班),地震,295427,2654484,296174,2655647,,2009/1/6,193,11.00,,,消失,林班地
23,2010,布唐布那斯溪,高雄市,桃源區,勤和里,,颱風,228613,2565755,225735,2568294,莫拉克颱風,2010/9,,70.00,,,消失,河川
